city_id,city,cloudiness,country,date,humidity,lat,lng,maxtemp,windspeed
556858,Imeni Babushkina,99,RU,1579897077,94,59.76,43.13,-2.84,3.87
98182,Baghdad,90,IQ,1579897031,93,33.34,44.4,9,4.1
5282297,Bethel,1,US,1579897077,20,41.37,-73.41,11,3.1
1714733,Dingle,7,PH,1579896861,90,11,122.67,23.43,3.02
2137773,Vao,28,NC,1579897077,81,-22.67,167.48,24.93,8.62
6149996,Smithers,20,CA,1579896901,93,54.78,-127.17,2,3.6
964420,Port Elizabeth,21,ZA,1579896817,83,-33.92,25.57,21,2.6
2071860,Esperance,90,AU,1579897078,100,-33.87,121.9,16,0.5
1174451,Keti Bandar,87,PK,1579897078,59,24.14,67.45,20.04,3.95
88319,Benghazi,0,LY,1579897078,66,32.12,20.07,14.49,2.43
2126199,Cherskiy,14,RU,1579897079,99,68.75,161.3,-39.61,1.42
3408368,Acarau,41,BR,1579896849,68,-2.89,-40.12,27.25,3.57
3424901,Aasiaat,78,GL,1579897079,82,68.71,-52.87,-10.14,6.04
2110227,Butaritari,100,KI,1579897079,71,3.07,172.79,29.06,2.38
3465745,Conceicao do Mato Dentro,100,BR,1579897079,96,-19.04,-43.42,20.16,2.98
2645198,Kirkwall,100,GB,1579897079,93,58.98,-2.96,6,5.7
3670218,San Andres,40,CO,1579896807,61,12.58,-81.7,28,5.1
3419842,Sisimiut,100,GL,1579897080,94,66.94,-53.67,-12.48,0.97
2128975,Nemuro,97,JP,1579896845,84,43.32,145.57,-6.69,10.32
578283,Spornoye,90,RU,1579897080,92,50.84,37.29,-1,6
3372964,Lagoa,100,PT,1579897080,74,39.05,-27.98,15.14,6.1
1510377,Belyy Yar,100,RU,1579897080,85,53.6,91.39,-8,1
3361934,Saldanha,0,ZA,1579897081,77,-33.01,17.94,20,1
4034551,Faanui,0,PF,1579897081,78,-16.48,-151.75,27.91,6.47
3358416,Bethanien,0,NA,1579897081,56,-26.5,17.16,17.02,2.92
1282256,Hithadhoo,67,MV,1579897082,77,-0.6,73.08,28.65,5.17
3985168,San Patricio,40,MX,1579897082,66,19.22,-104.7,29,5.1
2270385,Camacha,40,PT,1579897083,63,33.08,-16.33,16,7.2
3874787,Punta Arenas,90,CL,1579897083,93,-53.15,-70.92,8,3.6
5983720,Iqaluit,20,CA,1579897083,61,63.75,-68.51,-30.56,6.2
2629833,Husavik,40,IS,1579897083,86,66.04,-17.34,-2,4.1
1735106,George Town,20,MY,1579896785,69,5.41,100.34,27,1
6316343,Alta Floresta,40,BR,1579897031,74,-9.88,-56.09,29,3.1
6094325,Orillia,100,CA,1579896920,59,44.61,-79.42,4.44,2.24
2392087,Porto-Novo,0,BJ,1579897084,65,6.5,2.6,27,1
304825,Manisa,0,TR,1579897084,54,38.83,28.17,0.02,1.59
3652764,Puerto Ayora,20,EC,1579897084,58,-0.74,-90.35,30,9.8
1641977,Kalianget,79,ID,1579897084,71,-7.05,113.93,27.71,1.22
2147756,Swan Hill,47,AU,1579897085,60,-35.34,143.55,17.77,1.9
2189343,Kaeo,0,NZ,1579896816,100,-35.1,173.78,21.67,1.07
935215,Saint-Philippe,72,RE,1579897085,100,-21.36,55.77,26,9.3
1507390,Dikson,100,RU,1579896860,96,73.51,80.55,-20.57,4.73
2037485,Erenhot,48,CN,1579897085,80,43.65,111.98,-10.93,4.04
3663517,Manaus,75,BR,1579897085,74,-3.1,-60.02,32,1.5
3405304,Bom Jesus,97,BR,1579897086,74,-9.07,-44.36,26.37,1.66
5905616,Bonnyville,75,CA,1579897086,85,54.27,-110.73,-8,1
215527,Kabinda,86,CD,1579897086,86,-6.13,24.48,21.33,1.37
1015776,Bredasdorp,28,ZA,1579897086,88,-34.53,20.04,20,0.5
3663516,Mancio Lima,75,BR,1579897086,70,-7.61,-72.9,31,2.6
525426,Sobolevo,100,RU,1579897086,93,54.43,31.9,2.6,6.92
964432,Port Alfred,78,ZA,1579896864,78,-33.59,26.89,22.78,4.02
3931470,Puerto Maldonado,40,PE,1579897087,100,-12.6,-69.18,1,3.1
4513583,Hamilton,75,US,1579896896,93,39.18,-84.53,8.33,2.1
1803365,Linqiong,100,CN,1579897087,75,30.42,103.46,7,2.2
1609795,Khon Buri,22,TH,1579897087,76,14.53,102.25,22.6,2.53
2022572,Khatanga,81,RU,1579896864,89,71.97,102.5,-32.1,3.91
3945985,Camana,100,PE,1579897038,83,-16.62,-72.71,20.05,4.32
986717,Kruisfontein,0,ZA,1579897088,78,-34,24.73,21.11,3.08
3126369,Carballo,99,ES,1579897088,87,43.21,-8.69,9.44,0.5
2212775,Sabha,21,LY,1579897088,20,27.04,14.43,14.25,3.78
472328,Volot,100,RU,1579897088,92,57.93,30.7,1.68,4.43
1235846,Matara,1,LK,1579897089,86,5.95,80.54,22.85,3.52
5528182,Pecos,1,US,1579897089,38,31.42,-103.49,16,2.1
2729907,Longyearbyen,40,SJ,1579896889,65,78.22,15.64,-14,9.8
5354943,Half Moon Bay,1,US,1579897089,87,37.46,-122.43,18.89,4.1
